s	cc	g	d	igcell	fee	db	pmt
0	19	0	7	691	4	2	7
0	19	0	8	692	4	2	5
0	19	1	0	693	4	3	12
0	19	1	1	694	4	3	10
0	19	1	2	695	4	3	9
0	19	1	3	696	4	3	16
0	19	1	4	697	4	3	15
0	19	1	5	698	4	3	13
0	19	1	6	699	4	2	12
0	19	1	7	700	4	2	10
0	19	1	8	701	4	2	9
0	19	2	0	702	4	2	1
0	19	2	1	703	4	2	2
0	19	2	2	704	4	2	4
0	19	2	3	705	4	1	5
0	19	2	4	706	4	1	7
0	19	2	5	707	4	1	8
0	19	2	6	708	4	1	1
0	19	2	7	709	4	1	2
0	19	2	8	710	4	1	4
0	19	3	0	711	4	2	13
0	19	3	1	712	4	2	15
0	19	3	2	713	4	2	16
0	19	3	3	714	4	1	9
0	19	3	4	715	4	1	10
0	19	3	5	716	4	1	12
0	19	3	6	717	4	1	13
0	19	3	7	718	4	1	15
0	19	3	8	719	4	1	16
0	20	0	0	720	25	3	8
0	20	0	1	721	25	3	7
0	20	0	2	722	25	3	5
0	20	0	3	723	25	3	4
0	20	0	4	724	25	3	2
0	20	0	5	725	25	3	1
0	20	0	6	726	25	2	8
0	20	0	7	727	25	2	7
0	20	0	8	728	25	2	5
0	20	1	0	729	25	3	12
0	20	1	1	730	25	3	10
0	20	1	2	731	25	3	9
0	20	1	3	732	25	3	16
0	20	1	4	733	25	3	15
0	20	1	5	734	25	3	13
0	20	1	6	735	25	2	12
0	20	1	7	736	25	2	10
0	20	1	8	737	25	2	9
0	20	2	0	738	25	2	1
0	20	2	1	739	25	2	2
0	20	2	2	740	25	2	4
0	20	2	3	741	25	1	5
0	20	2	4	742	25	1	7
0	20	2	5	743	25	1	8
0	20	2	6	744	25	1	1
0	20	2	7	745	25	1	2
0	20	2	8	746	25	1	4
0	20	3	0	747	25	2	13
0	20	3	1	748	25	2	15
0	20	3	2	749	25	2	16
0	20	3	3	750	25	1	9
0	20	3	4	751	25	1	10
0	20	3	5	752	25	1	12
0	20	3	6	753	25	1	13
0	20	3	7	754	25	1	15
0	20	3	8	755	25	1	16
0	21	0	0	756	20	3	8
0	21	0	1	757	20	3	7
0	21	0	2	758	20	3	5
0	21	0	3	759	20	3	4
0	21	0	4	760	20	3	2
0	21	0	5	761	20	3	1
0	21	0	6	762	20	2	8
0	21	0	7	763	20	2	7
0	21	0	8	764	20	2	5
0	21	1	0	765	20	3	12
0	21	1	1	766	20	3	10
0	21	1	2	767	20	3	9
0	21	1	3	768	20	3	16
0	21	1	4	769	20	3	15
0	21	1	5	770	20	3	13
0	21	1	6	771	20	2	12
0	21	1	7	772	20	2	10
0	21	1	8	773	20	2	9
0	21	2	0	774	20	2	1
0	21	2	1	775	20	2	2
0	21	2	2	776	20	2	4
0	21	2	3	777	20	1	5
0	21	2	4	778	20	1	7
0	21	2	5	779	20	1	8
0	21	2	6	780	20	1	1
0	21	2	7	781	20	1	2
0	21	2	8	782	20	1	4
0	21	3	0	783	20	2	13
0	21	3	1	784	20	2	15
0	21	3	2	785	20	2	16
0	21	3	3	786	20	1	9
0	21	3	4	787	20	1	10
0	21	3	5	788	20	1	12
0	21	3	6	789	20	1	13
0	21	3	7	790	20	1	15
0	21	3	8	791	20	1	16
0	22	0	0	792	15	3	8
0	22	0	1	793	15	3	7
0	22	0	2	794	15	3	5
0	22	0	3	795	15	3	4
0	22	0	4	796	15	3	2
0	22	0	5	797	15	3	1
0	22	0	6	798	15	2	8
0	22	0	7	799	15	2	7
0	22	0	8	800	15	2	5
0	22	1	0	801	15	3	12
0	22	1	1	802	15	3	10
0	22	1	2	803	15	3	9
0	22	1	3	804	15	3	16
0	22	1	4	805	15	3	15
0	22	1	5	806	15	3	13
0	22	1	6	807	15	2	12
0	22	1	7	808	15	2	10
0	22	1	8	809	15	2	9
0	22	2	0	810	15	2	1
0	22	2	1	811	15	2	2
0	22	2	2	812	15	2	4
0	22	2	3	813	15	1	5
0	22	2	4	814	15	1	7
0	22	2	5	815	15	1	8
0	22	2	6	816	15	1	1
0	22	2	7	817	15	1	2
0	22	2	8	818	15	1	4
0	22	3	0	819	15	2	13
0	22	3	1	820	15	2	15
0	22	3	2	821	15	2	16
0	22	3	3	822	15	1	9
0	22	3	4	823	15	1	10
0	22	3	5	824	15	1	12
0	22	3	6	825	15	1	13
0	22	3	7	826	15	1	15
0	22	3	8	827	15	1	16
0	23	0	0	828	10	1	16
0	23	0	1	829	10	1	15
0	23	0	2	830	10	1	13
0	23	0	3	831	10	1	12
0	23	0	4	832	10	1	10
0	23	0	5	833	10	1	9
0	23	0	6	834	10	2	16
0	23	0	7	835	10	2	15
0	23	0	8	836	10	2	13
0	23	1	0	837	10	1	4
0	23	1	1	838	10	1	2
0	23	1	2	839	10	1	1
0	23	1	3	840	10	1	8
0	23	1	4	841	10	1	7
0	23	1	5	842	10	1	5
0	23	1	6	843	10	2	4
0	23	1	7	844	10	2	2
0	23	1	8	845	10	2	1
0	23	2	0	846	10	2	9
0	23	2	1	847	10	2	10
0	23	2	2	848	10	2	12
0	23	2	3	849	10	3	13
0	23	2	4	850	10	3	15
0	23	2	5	851	10	3	16
0	23	2	6	852	10	3	9
0	23	2	7	853	10	3	10
0	23	2	8	854	10	3	12
0	23	3	0	855	10	2	5
